104 HAT-P-11_b 0.0825354 0.81 0.0525443 0.198
105 HD_104067_b 0.185935 0.791 0.264333 0
106 HD_20794_b 0.00848679 0.7 0.120738 0
107 HD_195019_b 3.57989 1.025 0.136688 0.0138
108 GJ_832_b 0.644279 0.45 3.4032 0.12
109 GJ_667_C_b 0.0171709 0.33 0.0504235 0.09
110 CoRoT-19_b 1.10792 1.21 0.0516604 0.047
111 alpha_Ari_b 1.85989 1.5 1.17579 0.25
112 61_Vir_b 0.016075 0.942 0.05006 0.12
113 HD_210702_b 1.96498 1.85 1.20333 0.036
114 HAT-P-4_b 0.671507 1.248 0.0443853 0
115 HAT-P-21_b 4.07833 0.947 0.0494951 0.228
116 alpha_Cen_B_b 0.00354639 0.934 0.0418506 0
117 mu_Ara_b 1.74552 1.147 1.5273 0.128
118 WASP-45_b 1.00657 0.909 0.0405459 0
119 HD_73526_c 2.4209 1.014 1.02831 0.14
120 Kepler-17_b 2.47943 1.16 0.0267923 0
121 14_Her_b 5.21486 1.066 2.93362 0.369
122 HAT-P-33_b 0.766341 1.403 0.0502683 0.148
124 HIP_79431_b 2.11299 0.49 0.358346 0.29
125 HD_171238_b 2.60901 0.943 2.54268 0.4
126 HIP_5158_b 1.42633 0.78 0.887919 0.52
127 WASP-46_b 2.10232 0.956 0.0244921 0
128 GJ_849_b 0.830886 0.49 2.35317 0.04
129 HAT-P-1_b 0.532369 1.133 0.0553326 0
130 OGLE2-TR-L9_b 4.57442 1.52 0.0413279 0
131 WASP-22_b 0.559059 1.1 0.0468682 0.023
132 WASP-2_b 0.908659 0.88 0.0312729 0
133 HD_164922_b 0.357927 0.927 2.10091 0.05
134 Kepler-30_c 2.01385 0.99 0.300013 0.0111
135 tau_Gru_b 1.2147 1.238 2.51797 0.07
136 WASP-34_b 0.583354 1.01 0.0520747 0.038
137 HD_96063_b 0.920067 1.02 0.99927 0
138 HAT-P-22_b 2.15137 0.916 0.0414094 0.016
139 CoRoT-7_b 0.0157999 0.93 0.0171897 0
140 HD_5608_b 1.40789 1.55 1.94034 0.19
141 HATS-1_b 1.86507 0.986 0.0444708 0.12
142 HD_80606_b 3.89054 0.958 0.447343 0.934
143 Kepler-45_b 0.511499 0.59 0.0298817 0.11
144 Kepler-68_b 0.026183 1.079 0.061775 0
145 WASP-78_b 0.883997 1.33 0.0361391 0
146 HD_86264_b 6.62738 1.4 2.84117 0.7
147 HD_82943_c 1.98927 1.133 0.742817 0.359
148 GJ_581_d 0.0191104 0.31 0.217717 0.25
149 iota_Hor_b 2.04683 1.145 0.92376 0.14
150 HD_37124_d 0.68665 0.85 2.80658 0.16
151 HD_192263_b 0.639382 0.804 0.152945 0.055
152 HD_204313_b 3.50088 1.045 3.07131 0.23
154 TrES-3_b 1.91 0.915 0.0227178 0
155 HIP_14810_b 3.87441 0.99 0.0692271 0.142483
