#Nombre_Planeta M_Planeta(M_Jupiter) M_Estrella(M_Sol)
HD_125595_b 0.0416764 0.756
HD_125612_b 3.06805 1.1
HD_125612_c 0.0580667 1.1
HD_126614_A_b 0.385706 1.145
HD_12661_b 2.3408 1.136
HD_12661_c 1.9487 1.136
HD_128311_b 1.4572 0.828
HD_128311_c 3.24848 0.828
HD_130322_b 1.04309 0.836
HD_131496_b 2.24115 1.61
HD_131664_b 18.3282 1.1
HD_13189_b 14.7715 3.5
HD_132406_b 5.60495 1.09
HD_132563_B_b 1.49247 1.01
HD_134987_b 1.56347 1.054
HD_134987_c 0.804926 1.054
HD_136118_b 11.6809 1.191
HD_136418_b 1.9935 1.33
HD_137388_b 0.227816 0.86
HD_13931_b 1.88123 1.022
HD_139357_b 10.0754 1.35
HD_141937_b 9.4752 1.048
HD_142022_b 4.46762 0.9
HD_142245_b 1.89038 1.69
HD_142415_b 1.66194 1.065
HD_142_b 1.3057 1.232
HD_143361_b 3.03499 0.95
HD_145377_b 5.78201 1.12
HD_145457_b 2.97219 1.9
HD_1461_b 0.0240044 1.026
HD_147018_b 2.12711 0.927
HD_147018_c 6.59355 0.927
HD_147513_b 1.17965 1.072
HD_148156_b 0.847612 1.22
HD_148427_b 1.21259 1.485
HD_149026_b 0.359837 1.294
HD_149143_b 1.32811 1.2
HD_1502_b 3.08886 1.61
HD_152581_b 1.51375 0.927
HD_153950_b 2.74209 1.12
HD_154345_b 0.956901 0.893
HD_154672_b 5.00638 1.06
HD_154857_b 2.33267 1.718
HD_155358_b 0.819484 0.87
HD_155358_c 0.807031 0.87
HD_156279_b 9.7848 0.93
HD_156411_b 0.736644 1.25
HD_156668_b 0.0130582 0.772
HD_156846_b 11.0076 1.43
HD_158038_b 1.79425 1.65
HD_159868_b 2.1068 1.087
HD_159868_c 0.73 1.087
HD_16141_b 0.249652 1.052
HD_16175_b 4.37946 1.29
HD_162020_b 15.2138 0.8
HD_163607_b 0.768857 1.09
HD_163607_c 2.2924 1.09
HD_16417_b 0.0669595 1.115
HD_164509_b 0.480333 1.13
HD_164604_b 2.6885 0.8
HD_164922_b 0.357927 0.927
HD_167042_b 1.69651 1.72
HD_16760_b 13.2921 0.78
HD_168443_b 7.69745 0.995
HD_168443_c 17.3857 0.995
HD_168746_b 0.245103 0.916
HD_1690_b 6.1908 1.09
HD_169830_b 2.88946 1.407
HD_169830_c 4.06407 1.407
HD_170469_b 0.668676 1.136
HD_17092_b 4.96206 2.3
HD_171028_b 1.96177 0.99
HD_171238_b 2.60901 0.943
HD_17156_b 3.30035 1.285
HD_173416_b 2.71808 2
HD_175167_b 7.77836 1.102
HD_175541_b 0.574881 1.524
HD_177830_b 1.53223 1.46388
HD_178911_B_b 7.29127 1.06421
HD_179079_b 0.0837774 1.09
HD_179949_b 0.902075 1.181
HD_180314_b 22.6261 2.6
HD_180902_b 1.55713 1.52
HD_181342_b 2.99952 1.58
HD_181433_b 0.0237331 0.78
HD_181433_c 0.640416 0.78
HD_181433_d 0.535482 0.78
HD_181720_b 0.37199 0.92
HD_183263_b 3.57445 1.121
HD_183263_c 3.47646 1.121
HD_185269_b 0.954212 1.28
HD_187085_b 0.803694 1.143
HD_187123_b 0.510056 1.037
HD_187123_c 1.9422 1.037
HD_18742_b 2.71855 1.6
HD_188015_b 1.46957 1.056
HD_189733_b 1.14039 0.806
HD_190228_b 5.94193 1.821
HD_190360_b 1.53512 0.983
HD_190360_c 0.0589738 0.983
HD_190647_b 1.90296 1.1
HD_192263_b 0.639382 0.804
HD_192310_b 0.0531258 0.8
HD_192310_c 0.0736073 0.8
HD_192699_b 2.39704 1.69
HD_195019_b 3.57989 1.025
HD_196050_b 2.8434 1.109
HD_196885_b 2.9439 1.23
HD_197037_b 0.807324 1.11
HD_19994_b 1.32681 1.365
HD_200964_b 1.83965 1.44
HD_200964_c 0.892778 1.44
HD_202206_b 16.8244 1.074
HD_202206_c 2.33098 1.074
HD_2039_b 5.92499 1.123
HD_204313_b 3.50088 1.045
HD_204313_d 1.60642 1.02
HD_204941_b 0.26689 0.74
HD_205739_b 1.48708 1.22
HD_206610_b 2.22576 1.56
HD_20782_b 1.76369 0.969
HD_207832_b 0.564176 0.94
HD_207832_c 0.730294 0.94
HD_20794_b 0.00848679 0.7
HD_20794_c 0.00743617 0.7
HD_20794_d 0.0147932 0.7
HD_208487_b 0.5122 1.113
HD_208527_b 10.014 1.6
HD_20868_b 2.00901 0.78
HD_209458_b 0.68851 1.131
HD_210277_b 1.27275 0.986
HD_210702_b 1.96498 1.85
HD_212301_b 0.39615 1.05
HD_212771_b 2.25208 1.15
HD_213240_b 4.53249 1.143
HD_215497_b 0.020855 0.872
HD_215497_c 0.327524 0.872
HD_216437_b 2.16817 1.117
HD_216770_b 0.646927 0.9
HD_217107_b 1.40112 1.108
HD_217107_c 2.61546 1.108
HD_217786_b 13.1868 1.02
HD_218566_b 0.212872 0.85
HD_219828_b 0.0622185 1.24
HD_220074_b 11.1883 1.2
HD_220773_b 1.44975 1.16
HD_221287_b 3.11535 1.25
HD_222155_b 2.02633 1.13
HD_222582_b 7.63003 0.965
HD_224693_b 0.714594 1.33
HD_22781_b 13.8403 0.75
HD_23079_b 2.4433 1.012
HD_23127_b 1.40487 1.127
HD_231701_b 1.08667 1.14
HD_23596_b 7.74272 1.159
HD_240210_b 7.28868 1.25
HD_240237_b 5.31949 1.69
HD_24040_b 4.02189 1.18
HD_25171_b 0.956204 1.09
HD_2638_b 0.477325 0.93
HD_27894_b 0.617925 0.75
HD_28185_b 5.79721 0.99
HD_28254_b 1.1614 1.06
HD_28678_b 1.71423 1.74
HD_290327_b 2.54762 0.9
HD_2952_b 1.62021 2.54
HD_30177_b 9.68782 0.951
HD_30562_b 1.33254 1.277
HD_30856_b 1.8481 1.35
HD_31253_b 0.501427 1.23
HD_32518_b 3.34549 1.13
HD_330075_b 0.623724 0.7
HD_33142_b 1.32886 1.48
HD_33283_b 0.330171 1.24
HD_33564_b 9.12785 1.25
HD_33636_b 9.26951 1.017
HD_34445_b 0.790506 1.069
HD_3651_b 0.228975 0.882
HD_37124_b 0.674371 0.85
HD_37124_c 0.648109 0.85
HD_37124_d 0.68665 0.85
HD_37605_b 2.80174 1
HD_37605_c 3.36552 1
HD_38283_b 0.338157 1.085
HD_38529_b 0.85711 1.477
HD_38529_c 13.0799 1.477
HD_38801_b 10.7604 1.36
HD_39091_b 10.088 1.071
HD_40307_b 0.0129071 0.74
HD_40307_c 0.0211468 0.74
HD_40307_d 0.028076 0.74
HD_40979_b 4.02224 1.154
HD_41004_B_b 18.4135 0.4
HD_4113_b 1.64829 0.99
HD_4203_b 2.08215 1.13
HD_4208_b 0.807457 0.879
