# NAME MSINI MSTAR A ECC
# mjupiter msun au 
HD_128311_c 3.24848 0.828 1.74533 0.23
CoRoT-23_b 3.07662 1.14 0.0483417 0.16
WASP-39_b 0.284135 0.93 0.0485835 0
GJ_876_b 1.9469 0.32 0.208098 0.0324
HD_164509_b 0.480333 1.13 0.877542 0.26
HD_9446_b 0.698769 1 0.189213 0.2
HD_18742_b 2.71855 1.6 1.92734 0.12
WASP-80_b 0.551763 0.58 0.0344696 0
HD_167042_b 1.69651 1.72 1.31709 0.089
HD_69830_b 0.0316488 0.849 0.0781916 0.1
Kepler-8_b 0.582607 1.213 0.0483278 0
HD_114762_b 11.6351 0.894578 0.362932 0.3354
61_Vir_c 0.0333747 0.942 0.216926 0.14
HD_45652_b 0.468448 0.83 0.227878 0.38
HAT-P-14_b 2.22166 1.386 0.0606258 0.107
WASP-66_b 2.30754 1.3 0.0546221 0
HD_73256_b 1.86902 1.05 0.0371348 0.029
Kepler-56_b  1.37 0.104248 
6_Lyn_b 2.20888 1.82 2.18639 0.059
HD_180314_b 22.6261 2.6 1.45528 0.257
HD_17092_b 4.96206 2.3 1.30798 0.166
HIP_57274_b 0.0365708 0.73 0.0712798 0.187
HD_202206_b 16.8244 1.074 0.811776 0.435
WASP-5_b 1.62047 1.01 0.0271923 0
CoRoT-2_b 3.27343 0.97 0.0280884 0.0143
HD_108874_c 1.02837 0.95 2.72021 0.273039
MOA-2010-BLG-073L_b  0.16  
HD_200964_c 0.892778 1.44 1.94439 0.181
HD_10180_h 0.206033 1.06 3.42452 0.151
HD_33142_b 1.32886 1.48 1.05802 0.12
HAT-P-20_b 7.27817 0.756 0.03616 0.015
HD_7924_b 0.0291185 0.832 0.0566409 0.17
CoRoT-5_b 0.461312 1 0.0496334 0.09
WASP-47_b 1.13635 1.084 0.0520112 0
OGLE-2011-BLG-0251_b  0.26  
Kepler-36_b 0.0140374 1.071 0.115423 0
HAT-P-35_b 1.05305 1.236 0.0497734 0.025
HD_99109_b 0.504198 0.94 1.10806 0.09
Kepler-5_b 2.11222 1.374 0.0506416 0
HD_10647_b 0.925037 1.095 2.02175 0.16
Kepler-28_c 0 0.75 0.0768547 0
upsilon_And_c 1.91855 1.31 0.830445 0.223848
WASP-12_b 1.34899 1.28 0.0225329 0.049
HD_170469_b 0.668676 1.136 2.23538 0.11
HD_88133_b 0.299445 1.2 0.047174 0.133
HD_196885_b 2.9439 1.23 2.54171 0.48
24_Sex_b 1.64828 1.54 1.33782 0.184
HD_190228_b 5.94193 1.821 2.60478 0.531
OGLE-2006-BLG-109L_b  0.51 2.30586 
HD_181720_b 0.37199 0.92 1.84741 0.26
55_Cnc_c 0.164558 0.905 0.237305 0.07
HD_156411_b 0.736644 1.25 1.88048 0.22
HD_27894_b 0.617925 0.75 0.122117 0.049
HD_156279_b 9.7848 0.93 0.494507 0.708
61_Vir_d 0.0715929 0.942 0.474527 0.35
HD_179079_b 0.0837774 1.09 0.119635 0.115
OGLE-05-390L_b  0.22 2.72349 
WASP-4_b 1.22306 0.91 0.0230406 0
HD_4113_b 1.64829 0.99 1.27266 0.903
HD_330075_b 0.623724 0.7 0.0392074 0
HD_104985_b 6.55066 1.6 0.782553 0.09
HD_87883_b 1.75571 0.803 3.57648 0.53
HD_10180_g 0.0673813 1.06 1.42271 0
HD_66428_b 2.74962 1.061 3.14259 0.465
HD_52265_b 1.07139 1.17 0.499878 0.325
HD_16417_b 0.0669595 1.115 0.135435 0.2
Kepler-15_b 0.66177 1.018 0.0571382 0.133933
HD_205739_b 1.48708 1.22 0.894939 0.27
CoRoT-16_b 0.535943 1.098 0.0617874 0.33
HD_216770_b 0.646927 0.9 0.455837 0.37
HD_136418_b 1.9935 1.33 1.29111 0.255
Kepler-59_b  1.04 0.103167 
beta_Pic_b 8.99692 1.75 8.76034 
HD_188015_b 1.46957 1.056 1.19018 0.137
WASP-59_b 0.859026 0.719 0.0696866 0.1
WASP-54_b 0.630293 1.213 0.049881 0.067
HAT-P-8_b 1.29241 1.28 0.0449613 0
WASP-15_b 0.541448 1.18 0.0499436 0
HD_10180_d 0.0376549 1.06 0.128581 0.143
HD_9446_c 1.81548 1 0.65375 0.06
XO-4_b 1.60219 1.32 0.05524 0
WASP-48_b 0.969551 1.19 0.034488 0
HD_37124_b 0.674371 0.85 0.533637 0.054
WASP-32_b 3.441 1.07 0.0390315 0
OGLE-TR-211_b 0.753425 1.33 0.0512842 0
gamma_Cep_b 1.77171 1.59 2.13883 0.12
Kepler-11_g 0 0.95 0.463832 0
GJ_86_b 4.00104 0.796 0.114217 0.0416
HR_8799_e 3.2863 1.516 14.5253 0
HD_8574_b 1.80603 1.122 0.757141 0.297
MOA-2007-BLG-192L_b  0.084  
HD_82886_b 1.30477 1.06 1.58126 0.066
HD_179949_b 0.902075 1.181 0.0439208 0.022
HD_2952_b 1.62021 2.54 1.22755 0.129
MOA-2009-BLG-319L_b  0.38  
HIP_14810_c 1.27518 0.99 0.545404 0.153155
HD_28678_b 1.71423 1.74 1.25067 0.168
WASP-56_b 0.605178 1.107 0.056145 0
Kepler-18_c 0.054387 0.972 0.0752115 0.000338541
CoRoT-8_b 0.215994 0.88 0.0633825 0
HD_96167_b 0.68457 1.31 1.34724 0.71
HD_43197_b 0.596868 0.96 0.918027 0.83
HD_37605_c 3.36552 1 3.81754 0.013
HD_183263_b 3.57445 1.121 1.49006 0.35672
Kepler-32_c 0 0.54 0.0676835 0
Kepler-23_b 0 1.11 0.0749015 0
WASP-23_b 0.871881 0.78 0.037022 0
11_Com_b 19.4336 2.7 1.29387 0.231
HD_145377_b 5.78201 1.12 0.450064 0.307
omicron_CrB_b 1.47736 2.13 0.826048 0.191
OGLE-TR-132_b 1.16945 1.305 0.0303507 0
beta_Gem_b 2.68707 2 1.73458 0.02
Pr_201_b 0.540155 1.234 0.0565986 0
WASP-52_b 0.45566 0.87 0.0271336 0
47_UMa_b 2.54589 1.063 2.10149 0.032
HD_240210_b 7.28868 1.25 1.33364 0.15
HD_109749_b 0.27467 1.21 0.0629198 0
HD_45364_c 0.658513 0.82 0.897549 0.0974
WASP-50_b 1.46438 0.892 0.0294714 0.009
GJ_3470_b 0.0439877 0.541 0.0356123 0
HD_96127_b 4.00701 0.91 1.42112 0.3
HD_17156_b 3.30035 1.285 0.163197 0.6819
HD_16760_b 13.2921 0.78 1.08727 0.067
HD_30562_b 1.33254 1.277 2.34083 0.76
Kepler-46_b  0.902 0.1969 0.01
epsilon_CrB_b 6.75624 1.7 1.30723 0.11
omicron_UMa_b 4.09607 3.09 3.94973 0.13
TrES-2_b 1.19316 0.983 0.0355765 0
HD_102195_b 0.452799 0.87 0.0479747 0
HD_75289_b 0.46004 1.187 0.047858 0.034
HD_185269_b 0.954212 1.28 0.0765701 0.295952
WASP-7_b 0.919256 1.2 0.0604573 0
WASP-41_b 0.931742 0.95 0.0404959 0
BD_-10_3166_b 0.429903 0.92 0.0437823 0.019
HD_190360_b 1.53512 0.983 3.97285 0.313105
HAT-P-13_c 14.2696 1.22 1.22574 0.6616
GJ_317_b 1.17505 0.24 0.953818 0.193
HD_37605_b 2.80174 1 0.283337 0.6767
WASP-44_b 0.88769 0.951 0.0347371 0
CoRoT-12_b 0.916321 1.078 0.0401409 0.07
CoRoT-1_b 1.02603 0.95 0.0253191 0
HD_125612_c 0.0580667 1.1 0.0522124 0.27499
GJ_581_b 0.0499019 0.31 0.0406125 0.031
HD_102117_b 0.169756 1.083 0.152077 0.121
HD_189733_b 1.14039 0.806 0.0309953 0
HD_108863_b 2.55796 1.85 1.39761 0
HD_1502_b 3.08886 1.61 1.3112 0.101
HD_142022_b 4.46762 0.9 2.93163 0.53
WASP-72_b 1.40552 1.327 0.036575 0
HD_212771_b 2.25208 1.15 1.06369 0.111
HD_134987_b 1.56347 1.054 0.807929 0.233
HD_187123_c 1.9422 1.037 4.83146 0.252086
HD_101930_b 0.299187 0.74 0.302019 0.11
Kepler-46_c  0.902 0.280101 0.0146
HD_131664_b 18.3282 1.1 3.17098 0.638
HIP_57050_b 0.297735 0.34 0.163506 0.314
Kepler-9_d  1 0.0266925 0
Kepler-49_b  0.55 0.0598092 
WASP-67_b 0.418184 0.87 0.0517914 0
HD_147018_c 6.59355 0.927 1.92274 0.133
Kepler-32_b 0 0.54 0.0520435 0
HD_92788_b 3.56392 1.078 0.951142 0.334
HAT-P-12_b 0.210772 0.73 0.0383737 0
HD_154857_b 2.33267 1.718 1.29206 0.47
Kepler-25_c 0 1.22 0.113953 0
HD_163607_b 0.768857 1.09 0.359201 0.73
HD_19994_b 1.32681 1.365 1.30567 0.266
WASP-29_b 0.242938 0.825 0.0456587 0.03
OGLE-TR-182_b 1.02162 1.14 0.0513517 0
HD_85512_b 0.0113953 0.69 0.260405 0.11
HD_106252_b 6.95913 1.007 2.61147 0.482
18_Del_b 10.2096 2.3 2.57542 0.08
Kepler-54_c  0.51 0.0822829 
Kepler-33_b  1.291 0.0677431 0
Kepler-34_b 0.22 1.0479 0.86856 0.182
HD_171028_b 1.96177 0.99 1.31019 0.59
WASP-1_b 0.827536 1.2 0.0385203 0
XO-5_b 1.15082 1 0.0508651 0
HAT-P-3_b 0.595021 0.928 0.0388252 0
upsilon_And_d 4.11582 1.31 2.52452 0.267395
