# NAME MSINI MSTAR A ECC
# mjupiter msun au 
HD_20794_b 0.00848679 0.7 0.120738 0
HD_195019_b 3.57989 1.025 0.136688 0.0138
GJ_832_b 0.644279 0.45 3.4032 0.12
GJ_667_C_b 0.0171709 0.33 0.0504235 0.09
CoRoT-19_b 1.10724 1.21 0.0516604 0.047
alpha_Ari_b 1.85989 1.5 1.17579 0.25
61_Vir_b 0.016075 0.942 0.05006 0.12
HD_210702_b 1.96498 1.85 1.20333 0.036
HAT-P-4_b 0.671507 1.248 0.0443853 0
HAT-P-21_b 4.07346 0.947 0.0494951 0.228
alpha_Cen_B_b 0.00354639 0.934 0.0418506 0
mu_Ara_b 1.74552 1.147 1.5273 0.128
WASP-45_b 1.00188 0.909 0.0405459 0
HD_73526_c 2.4209 1.014 1.02831 0.14
Kepler-17_b 2.47651 1.16 0.0267923 0
14_Her_b 5.21486 1.066 2.93362 0.369
HAT-P-33_b 0.76507 1.403 0.0502683 0.148
OGLE-05-169L_b  0.49 3.41991 
HIP_79431_b 2.11299 0.49 0.358346 0.29
HD_171238_b 2.60901 0.943 2.54268 0.4
HIP_5158_b 1.42633 0.78 0.887919 0.52
WASP-46_b 2.08495 0.956 0.0244921 0
GJ_849_b 0.830886 0.49 2.35317 0.04
HAT-P-1_b 0.531143 1.133 0.0553326 0
OGLE2-TR-L9_b 4.50213 1.52 0.0413279 0
Kepler-54_b  0.51 0.0626016 
WASP-22_b 0.559004 1.1 0.0468682 0.023
PSR_B1257+12_b   0.168494 0
WASP-2_b 0.904818 0.88 0.0312729 0
HD_164922_b 0.357927 0.927 2.10091 0.05
Kepler-30_c 0 0.99 0.300013 0.0111
tau_Gru_b 1.2147 1.238 2.51797 0.07
WASP-34_b 0.581308 1.01 0.0520747 0.038
HD_96063_b 0.920067 1.02 0.99927 0
HAT-P-22_b 2.14822 0.916 0.0414094 0.016
CoRoT-7_b 0.0155646 0.93 0.0171897 0
HD_5608_b 1.40789 1.55 1.94034 0.19
HATS-1_b 1.85957 0.986 0.0444708 0.12
HD_80606_b 3.89024 0.958 0.447343 0.934
Kepler-45_b 0.510798 0.59 0.0298817 0.11
Kepler-68_b 0.0238819 1.079 0.061775 0
WASP-78_b 0.877779 1.33 0.0361391 0
HD_86264_b 6.62738 1.4 2.84117 0.7
HD_82943_c 1.98927 1.133 0.742817 0.359
GJ_581_d 0.0191104 0.31 0.217717 0.25
iota_Hor_b 2.04683 1.145 0.92376 0.14
HD_37124_d 0.68665 0.85 2.80658 0.16
HD_192263_b 0.639382 0.804 0.152945 0.055
HD_204313_b 3.50088 1.045 3.07131 0.23
Kepler-53_c  0.98 0.221868 
KOI-889_b 9.98356 0.88 0.0807413 0.569
TrES-3_b 1.87299 0.915 0.0227178 0
HIP_14810_b 3.87441 0.99 0.0692271 0.142483
Kepler-10_c 0 0.895 0.239651 
HD_90156_b 0.0565295 0.84 0.249855 0.31
Pr_211_b 1.84394 0.952 0.0320419 0
Kepler-6_b 0.668332 1.209 0.0456089 0
24_Sex_c 1.3623 1.54 2.1229 0.412
HD_60532_c 2.46312 1.44 1.57999 0.02
HD_68988_b 1.79992 1.124 0.0692771 0.1249
HAT-P-26_b 0.0586313 0.816 0.0478684 0.124
Kepler-20_e 0 0.912 0.063351 0
HD_149143_b 1.32811 1.2 0.0530508 0.016
Kepler-62_d  0.69 0.119499 0.0948683
HD_79498_b 1.34632 1.06 3.13296 0.59
HD_181433_c 0.640416 0.78 1.75604 0.28
70_Vir_b 7.46144 1.101 0.483601 0.4007
HD_102365_b 0.0509774 0.89 0.463328 0.34
BD_-08_2823_b 0.045941 0.74 0.0558236 0.15
CoRoT-11_b 2.33146 1.27 0.0440549 0
GJ_436_b 0.0725512 0.452 0.0287188 0.16
HD_41004_B_b 18.4135 0.4 0.0176759 0.081
WASP-37_b 1.79324 0.925 0.0446312 0
HD_6718_b 1.5591 0.96 3.55427 0.1
HD_33636_b 9.26951 1.017 3.26519 0.4805
HAT-P-40_b 0.619927 1.512 0.060845 0
HD_240237_b 5.31949 1.69 1.91887 0.4
rho_CrB_b 1.06409 0.965 0.225692 0.057
HD_11977_b 6.51995 1.91 1.93643 0.4
HD_73534_b 1.10389 1.229 3.06829 0.074
Kepler-50_c  1.23 0.0932375 
HD_164604_b 2.6885 0.8 1.30299 0.24
OGLE-05-071L_b  0.46 3.54863 
OGLE235-MOA53_b  0.63  
HD_37124_c 0.648109 0.85 1.70993 0.125
HD_217107_c 2.61546 1.108 5.33414 0.517222
HD_74156_b 1.77342 1.238 0.291535 0.63
Kepler-43_b 3.21573 1.32 0.0449294 0
WASP-13_b 0.477697 1.09 0.0537035 0
HD_13931_b 1.88123 1.022 5.14931 0.02
HAT-P-18_b 0.197162 0.77 0.0559503 0.084
HD_155358_c 0.807031 0.87 1.00082 0.16
WASP-43_b 1.7613 0.58 0.0142363 0
Kepler-39_b 18.1767 1.1 0.155007 0.121
14_And_b 4.68383 2.15 0.823151 0
Kepler-29_b 0 1 0.0928723 0
Kepler-24_b 0 1.03 0.0800144 0
81_Cet_b 5.34087 2.4 2.53876 0.206
KOI-200_b 0.665099 1.4 0.0827067 0.287
CoRoT-3_b 21.799 1.37 0.0573788 0
HAT-P-38_b 0.267451 0.886 0.0522992 0.067
Kepler-18_d 0.0515706 0.972 0.117171 0.000521567
mu_Ara_e 0.543322 1.147 0.93961 0.0666
HD_136118_b 11.6809 1.191 2.33328 0.338
HD_6434_b 0.397195 0.79 0.142061 0.17
HD_5319_b 1.93773 1.56 1.74656 0.12
HD_231701_b 1.08667 1.14 0.555583 0.1
CoRoT-18_b 3.48002 0.95 0.0295483 0.04
HD_75898_b 2.51504 1.28 1.18906 0.1
MOA-2008-BLG-310L_b  0.67  
GJ_1214_b 0.0203507 0.157 0.0143253 0
16_Cyg_B_b 1.63997 0.956 1.66027 0.681
HAT-P-25_b 0.566683 1.01 0.0465813 0.032
HD_213240_b 4.53249 1.143 1.88529 0.421
HD_12661_b 2.3408 1.136 0.838172 0.376834
Kepler-9_c 0.16858 1 0.22473 0.132575
HD_74156_c 8.24664 1.238 3.8997 0.38
HD_20794_c 0.00743617 0.7 0.203628 0
Kepler-31_c 0 1.21 0.254502 0
HD_38801_b 10.7604 1.36 1.70768 0
HD_132563_B_b 1.49247 1.01 2.62431 0.22
Kepler-61_b  0.635 0.257458 0
GJ_667_C_c 0.0134408 0.33 0.125092 0.34
HD_207832_c 0.730294 0.94 2.1118 0.27
Kepler-44_b 1.01508 1.19 0.0454854 0
HD_5891_b 6.77867 1.61 0.724366 0.066
HD_173416_b 2.71808 2 1.16272 0.21
HD_76700_b 0.232142 1.129 0.0511051 0.095
HD_39091_b 10.088 1.071 3.34651 0.6405
HD_7449_b 1.3131 1.05 2.33982 0.82
HD_149026_b 0.359837 1.294 0.0431325 0
OGLE-2006-BLG-109L_c 0.239279 0.51 4.8168 0.27
Qatar-2_b 2.483 0.74 0.0215077 0
HD_216437_b 2.16817 1.117 2.48556 0.319
HAT-P-7_b 1.77867 1.5 0.037964 0
HD_49674_b 0.101571 1.015 0.0571073 0.087
HD_82943_b 1.73352 1.133 1.183 0.219
WASP-38_b 2.70891 1.23 0.0758454 0.028
HD_77338_b 0.0498139 0.93 0.0612143 0.09
Kepler-29_c 0 1 0.109809 0
HD_220773_b 1.44975 1.16 4.94302 0.51
WASP-6_b 0.521174 0.93 0.0428704 0.054
HD_159868_c 0.73 1.087 1.00396 0.15
HD_137388_b 0.227816 0.86 0.88883 0.36
Kepler-52_c  0.54 0.10281 
HD_100777_b 1.16502 1 1.03378 0.36
HAT-P-5_b 1.05391 1.157 0.0407152 0
HD_222582_b 7.63003 0.965 1.33658 0.725
Kepler-16_b 0.333 0.6897 0.646795 0.0069
Kepler-32_d  0.54 0.128069 0
Kepler-58_c  0.95 0.119982 
WASP-33_b 0 1.495 0.0255483 0
HD_128311_b 1.4572 0.828 1.08649 0.345
MOA-2011-BLG-293L_b  0.44  
HD_181433_d 0.535482 0.78 3.02208 0.48
TrES-1_b 0.752484 0.878 0.0392516 0
HD_4208_b 0.807457 0.879 1.65355 0.052
